date,county,pm10_ugm3
2020-01-12,Fresno,17.5
2020-01-12,Kern,8.75
2020-01-12,Kings,14.666666666666666
2020-01-12,Madera,18.0
2020-01-12,San Joaquin,9.5
2020-01-12,Stanislaus,17.0
2020-01-13,Fresno,23.5
2020-01-13,Kern,7.75
2020-01-13,Kings,20.666666666666668
2020-01-13,Madera,14.0
2020-01-13,San Joaquin,8.0
2020-01-13,Stanislaus,17.0
2020-01-14,Fresno,18.75
2020-01-14,Kern,9.0
2020-01-14,Kings,25.666666666666668
2020-01-14,Madera,18.0
2020-01-14,San Joaquin,12.0
2020-01-14,Stanislaus,14.0
2020-01-15,Fresno,24.0
2020-01-15,Kern,15.25
2020-01-15,Kings,23.333333333333332
2020-01-15,Madera,19.0
2020-01-15,San Joaquin,17.5
2020-01-15,Stanislaus,23.0
2020-01-16,Fresno,25.285714285714285
2020-01-16,Kern,21.142857142857142
2020-01-16,Kings,21.0
2020-01-16,Madera,15.0
2020-01-16,Merced,16.0
2020-01-16,San Joaquin,10.666666666666666
2020-01-16,Stanislaus,12.0
2020-01-16,Tulare,17.0
2020-01-17,Fresno,9.5
2020-01-17,Kern,3.5
2020-01-17,Kings,11.333333333333334
2020-01-17,Madera,9.0
2020-01-17,San Joaquin,12.0
2020-01-17,Stanislaus,13.0
2020-01-17,Tulare,13.0
2020-01-18,Fresno,12.5
2020-01-18,Kern,7.25
2020-01-18,Kings,15.333333333333334
2020-01-18,Madera,12.0
2020-01-18,San Joaquin,12.0
2020-01-18,Stanislaus,16.0
2020-01-18,Tulare,21.0
2020-01-19,Fresno,20.25
2020-01-19,Kern,6.5
2020-01-19,Kings,21.333333333333332
2020-01-19,Madera,21.0
2020-01-19,San Joaquin,11.5
2020-01-19,Stanislaus,15.0
2020-01-19,Tulare,27.0
2020-01-20,Fresno,22.75
2020-01-20,Kern,11.5
2020-01-20,Kings,26.333333333333332
2020-01-20,Madera,22.0
2020-01-20,San Joaquin,20.5
2020-01-20,Stanislaus,28.0
2020-01-20,Tulare,32.0
2020-01-21,Fresno,30.5
2020-01-21,Kern,7.25
2020-01-21,Kings,32.666666666666664
2020-01-21,Madera,29.0
2020-01-21,San Joaquin,15.5
2020-01-21,Stanislaus,17.0
2020-01-21,Tulare,29.0
2020-01-22,Fresno,20.2
2020-01-22,Kern,15.333333333333334
2020-01-22,Kings,24.25
2020-01-22,Madera,14.0
2020-01-22,Merced,12.0
2020-01-22,San Joaquin,14.666666666666666
2020-01-22,Stanislaus,14.0
2020-01-22,Tulare,25.0
2020-01-23,Fresno,19.5
2020-01-23,Kern,10.25
2020-01-23,Kings,17.666666666666668
2020-01-23,Madera,9.0
2020-01-23,San Joaquin,16.5
2020-01-23,Stanislaus,23.0
2020-01-23,Tulare,26.0
2020-01-24,Fresno,33.25
2020-01-24,Kern,11.0
2020-01-24,Kings,31.0
2020-01-24,Madera,25.0
2020-01-24,San Joaquin,12.5
2020-01-24,Stanislaus,16.0
2020-01-24,Tulare,41.0
2020-01-25,Fresno,36.0
2020-01-25,Kern,8.0
2020-01-25,Kings,33.0
2020-01-25,Madera,30.0
2020-01-25,San Joaquin,18.5
2020-01-25,Stanislaus,28.0
2020-01-25,Tulare,36.0
2020-01-26,Fresno,16.25
2020-01-26,Kern,8.0
2020-01-26,Kings,27.666666666666668
2020-01-26,Madera,16.0
2020-01-26,San Joaquin,13.0
2020-01-26,Stanislaus,22.0
2020-01-26,Tulare,20.0
2020-01-27,Fresno,20.25
2020-01-27,Kern,7.75
2020-01-27,Kings,22.333333333333332
2020-01-27,Madera,13.0
2020-01-27,San Joaquin,12.0
2020-01-27,Stanislaus,12.0
2020-01-27,Tulare,19.0
2020-01-28,Fresno,22.142857142857142
2020-01-28,Kern,20.285714285714285
2020-01-28,Kings,25.0
2020-01-28,Madera,17.0
2020-01-28,Merced,14.0
2020-01-28,San Joaquin,15.333333333333334
2020-01-28,Stanislaus,14.5
2020-01-28,Tulare,26.0
2020-01-29,Fresno,14.0
2020-01-29,Kern,19.75
2020-01-29,Kings,21.666666666666668
2020-01-29,Madera,12.0
2020-01-29,San Joaquin,13.5
2020-01-29,Stanislaus,14.0
2020-01-29,Tulare,24.0
2020-01-30,Fresno,26.5
2020-01-30,Kern,13.0
2020-01-30,Kings,30.333333333333332
2020-01-30,Madera,23.0
2020-01-30,San Joaquin,17.0
2020-01-30,Stanislaus,24.0
2020-01-30,Tulare,25.0
2020-01-31,Fresno,34.0
2020-01-31,Kern,21.75
2020-01-31,Kings,40.0
2020-01-31,Madera,28.0
2020-01-31,San Joaquin,20.0
2020-01-31,Stanislaus,39.0
2020-01-31,Tulare,36.0
2020-02-01,Fresno,31.0
2020-02-01,Kern,13.0
2020-02-01,Kings,45.666666666666664
2020-02-01,Madera,27.0
2020-02-01,San Joaquin,21.0
2020-02-01,Stanislaus,41.0
2020-02-01,Tulare,46.0
2020-02-02,Fresno,16.5
2020-02-02,Kern,25.75
2020-02-02,Kings,33.333333333333336
2020-02-02,Madera,16.0
2020-02-02,San Joaquin,9.0
2020-02-02,Stanislaus,19.0
2020-02-02,Tulare,28.0
2020-02-03,Fresno,15.285714285714286
2020-02-03,Kern,17.166666666666668
2020-02-03,Kings,20.75
2020-02-03,Madera,17.0
2020-02-03,Merced,12.0
2020-02-03,San Joaquin,7.0
2020-02-03,Stanislaus,5.0
2020-02-03,Tulare,19.0
2020-02-04,Fresno,31.5
2020-02-04,Kern,14.25
2020-02-04,Kings,28.333333333333332
2020-02-04,Madera,29.0
2020-02-04,San Joaquin,7.5
2020-02-04,Stanislaus,8.0
2020-02-04,Tulare,24.0
2020-02-05,Fresno,39.0
2020-02-05,Kern,18.0
2020-02-05,Kings,42.333333333333336
2020-02-05,Madera,28.0
2020-02-05,San Joaquin,17.0
2020-02-05,Stanislaus,26.0
2020-02-05,Tulare,37.0
2020-02-06,Fresno,39.0
2020-02-06,Kern,10.0
2020-02-06,Kings,55.333333333333336
2020-02-06,Madera,31.0
2020-02-06,San Joaquin,30.0
2020-02-06,Stanislaus,39.0
2020-02-06,Tulare,41.0
2020-02-07,Fresno,41.0
2020-02-07,Kern,6.666666666666667
2020-02-07,Kings,64.33333333333333
2020-02-07,Madera,35.0
2020-02-07,San Joaquin,33.0
2020-02-07,Stanislaus,50.0
2020-02-07,Tulare,44.0
2020-02-08,Fresno,34.5
2020-02-08,Kern,17.75
2020-02-08,Kings,53.333333333333336
2020-02-08,Madera,32.0
2020-02-08,San Joaquin,27.0
2020-02-08,Stanislaus,37.0
2020-02-08,Tulare,41.0
2020-02-09,Fresno,26.571428571428573
2020-02-09,Kern,26.142857142857142
2020-02-09,Kings,25.0
2020-02-09,Madera,19.0
2020-02-09,Merced,24.0
2020-02-09,San Joaquin,23.666666666666668
2020-02-09,Stanislaus,35.0
2020-02-09,Tulare,34.0
2020-02-10,Fresno,43.25
2020-02-10,Kern,21.75
2020-02-10,Kings,44.666666666666664
2020-02-10,Madera,38.0
2020-02-10,San Joaquin,11.0
2020-02-10,Stanislaus,14.0
2020-02-10,Tulare,39.0
2020-02-11,Fresno,41.0
2020-02-11,Kern,18.75
2020-02-11,Kings,49.333333333333336
2020-02-11,Madera,32.0
2020-02-11,San Joaquin,21.0
2020-02-11,Stanislaus,36.0
2020-02-11,Tulare,35.0
2020-02-12,Fresno,40.5
2020-02-12,Kern,19.0
2020-02-12,Kings,50.0
2020-02-12,Madera,35.0
2020-02-12,San Joaquin,32.0
2020-02-12,Stanislaus,40.0
2020-02-12,Tulare,37.0
2020-02-13,Fresno,39.5
2020-02-13,Kern,17.5
2020-02-13,Kings,58.666666666666664
2020-02-13,Madera,36.0
2020-02-13,San Joaquin,30.0
2020-02-13,Stanislaus,34.0
2020-02-13,Tulare,43.0
2020-02-14,Fresno,37.75
2020-02-14,Kern,24.0
2020-02-14,Kings,40.0
2020-02-14,Madera,37.0
2020-02-14,San Joaquin,21.0
2020-02-14,Stanislaus,20.0
2020-02-14,Tulare,51.0
2020-02-15,Fresno,37.142857142857146
2020-02-15,Kern,32.833333333333336
2020-02-15,Kings,46.5
2020-02-15,Madera,26.0
2020-02-15,Merced,31.0
2020-02-15,San Joaquin,28.0
2020-02-15,Stanislaus,33.5
2020-02-15,Tulare,42.0
2020-02-16,Fresno,18.75
2020-02-16,Kern,22.25
2020-02-16,Kings,32.0
2020-02-16,Madera,20.0
2020-02-16,San Joaquin,15.0
2020-02-16,Stanislaus,22.0
2020-02-16,Tulare,32.0
2020-02-17,Fresno,21.5
2020-02-17,Kern,16.5
2020-02-17,Kings,29.333333333333332
2020-02-17,Madera,19.0
2020-02-17,San Joaquin,15.0
2020-02-17,Stanislaus,13.0
2020-02-17,Tulare,32.0
2020-02-18,Fresno,40.0
2020-02-18,Kern,22.75
2020-02-18,Kings,43.333333333333336
2020-02-18,Madera,33.0
2020-02-18,San Joaquin,23.0
2020-02-18,Stanislaus,16.0
2020-02-18,Tulare,42.0
2020-02-19,Fresno,40.5
2020-02-19,Kern,24.5
2020-02-19,Kings,41.333333333333336
2020-02-19,Madera,33.0
2020-02-19,San Joaquin,35.0
2020-02-19,Stanislaus,32.0
2020-02-19,Tulare,56.0
2020-02-20,Fresno,35.5
2020-02-20,Kern,22.75
2020-02-20,Kings,55.666666666666664
2020-02-20,Madera,37.0
2020-02-20,San Joaquin,36.0
2020-02-20,Stanislaus,38.0
2020-02-20,Tulare,42.0
2020-02-21,Fresno,51.714285714285715
2020-02-21,Kern,34.857142857142854
2020-02-21,Kings,53.0
2020-02-21,Madera,49.0
2020-02-21,Merced,37.0
2020-02-21,San Joaquin,27.666666666666668
2020-02-21,Stanislaus,28.5
2020-02-21,Tulare,59.0
2020-02-22,Fresno,17.5
2020-02-22,Kern,12.75
2020-02-22,Kings,31.0
2020-02-22,Madera,22.0
2020-02-22,San Joaquin,26.5
2020-02-22,Stanislaus,24.0
2020-02-22,Tulare,21.0
2020-02-23,Fresno,15.75
2020-02-23,Kern,9.0
2020-02-23,Kings,23.0
2020-02-23,Madera,17.0
2020-02-23,San Joaquin,14.5
2020-02-23,Stanislaus,14.0
2020-02-23,Tulare,21.0
2020-02-24,Fresno,31.666666666666668
2020-02-24,Kern,13.5
2020-02-24,Kings,31.666666666666668
2020-02-24,Madera,23.0
2020-02-24,San Joaquin,17.5
2020-02-24,Stanislaus,17.0
2020-02-24,Tulare,32.0
2020-02-25,Fresno,34.25
2020-02-25,Kern,16.0
2020-02-25,Kings,43.333333333333336
2020-02-25,Madera,32.0
2020-02-25,San Joaquin,23.0
2020-02-25,Stanislaus,28.0
2020-02-25,Tulare,32.0
2020-02-26,Fresno,29.75
2020-02-26,Kern,15.25
2020-02-26,Kings,44.333333333333336
2020-02-26,Madera,26.0
2020-02-26,San Joaquin,45.5
2020-02-26,Stanislaus,41.0
2020-02-26,Tulare,33.0
2020-02-27,Fresno,37.4
2020-02-27,Kern,22.8
2020-02-27,Kings,59.75
2020-02-27,Madera,32.0
2020-02-27,Merced,35.0
2020-02-27,San Joaquin,40.666666666666664
2020-02-27,Stanislaus,41.0
2020-02-27,Tulare,37.0
2020-02-28,Fresno,46.166666666666664
2020-02-28,Kern,21.25
2020-02-28,Kings,71.33333333333333
2020-02-28,Madera,36.0
2020-02-28,San Joaquin,39.5
2020-02-28,Stanislaus,40.0
2020-02-28,Tulare,36.0
2020-02-29,Fresno,28.75
2020-02-29,Kern,19.5
2020-02-29,Kings,47.0
2020-02-29,Madera,33.0
2020-02-29,San Joaquin,39.5
2020-02-29,Stanislaus,24.0
2020-02-29,Tulare,45.0
2020-03-01,Fresno,15.75
2020-03-01,Kern,16.5
2020-03-01,Kings,23.0
2020-03-01,Madera,17.0
2020-03-01,San Joaquin,12.0
2020-03-01,Stanislaus,15.0
2020-03-01,Tulare,25.0
2020-03-02,Fresno,26.0
2020-03-02,Kern,16.75
2020-03-02,Kings,30.666666666666668
2020-03-02,Madera,25.0
2020-03-02,San Joaquin,31.0
2020-03-02,Stanislaus,21.0
2020-03-02,Tulare,28.0
2020-03-03,Fresno,33.25
2020-03-03,Kern,17.25
2020-03-03,Kings,53.666666666666664
2020-03-03,Madera,32.0
2020-03-03,San Joaquin,28.0
2020-03-03,Stanislaus,39.0
2020-03-03,Tulare,36.0
2020-03-04,Fresno,45.857142857142854
2020-03-04,Kern,34.0
2020-03-04,Kings,59.25
2020-03-04,Madera,43.0
2020-03-04,Merced,33.0
2020-03-04,San Joaquin,45.666666666666664
2020-03-04,Stanislaus,47.5
2020-03-04,Tulare,50.0
2020-03-05,Fresno,37.25
2020-03-05,Kern,20.75
2020-03-05,Kings,64.66666666666667
2020-03-05,Madera,42.0
2020-03-05,San Joaquin,36.0
2020-03-05,Stanislaus,37.0
2020-03-05,Tulare,38.0
2020-03-06,Fresno,35.25
2020-03-06,Kern,21.5
2020-03-06,Kings,38.333333333333336
2020-03-06,Madera,36.0
2020-03-06,San Joaquin,16.5
2020-03-06,Stanislaus,18.0
2020-03-06,Tulare,45.0
2020-03-07,Fresno,11.0
2020-03-07,Kern,11.0
2020-03-07,Kings,13.666666666666666
2020-03-07,Madera,10.0
2020-03-07,San Joaquin,7.0
2020-03-07,Stanislaus,7.0
2020-03-07,Tulare,16.0
2020-03-08,Fresno,10.25
2020-03-08,Kern,3.75
2020-03-08,Kings,10.0
2020-03-08,Madera,12.0
2020-03-08,San Joaquin,6.5
2020-03-08,Stanislaus,6.0
2020-03-08,Tulare,11.0
2020-03-09,Fresno,18.5
2020-03-09,Kern,8.25
2020-03-09,Kings,23.333333333333332
2020-03-09,Madera,17.0
2020-03-09,San Joaquin,9.0
2020-03-09,Stanislaus,8.0
2020-03-09,Tulare,24.0
2020-03-10,Fresno,26.714285714285715
2020-03-10,Kern,21.5
2020-03-10,Kings,22.5
2020-03-10,Madera,19.0
2020-03-10,Merced,16.0
2020-03-10,San Joaquin,15.333333333333334
2020-03-10,Stanislaus,15.0
2020-03-10,Tulare,30.0
2020-03-11,Fresno,8.25
2020-03-11,Kern,5.0
2020-03-11,Kings,11.333333333333334
2020-03-11,Madera,8.0
2020-03-11,San Joaquin,11.5
2020-03-11,Stanislaus,11.0
2020-03-11,Tulare,17.0
2020-03-12,Fresno,17.75
2020-03-12,Kern,7.0
2020-03-12,Kings,21.666666666666668
2020-03-12,Madera,18.0
2020-03-12,San Joaquin,19.5
2020-03-12,Stanislaus,21.0
2020-03-12,Tulare,20.0
2020-03-13,Fresno,23.5
2020-03-13,Kern,6.0
2020-03-13,Kings,15.333333333333334
2020-03-13,Madera,25.0
2020-03-13,San Joaquin,25.5
2020-03-13,Stanislaus,26.0
2020-03-13,Tulare,16.0
2020-03-14,Fresno,9.75
2020-03-14,Kern,5.0
2020-03-14,Kings,9.666666666666666
2020-03-14,Madera,15.0
2020-03-14,San Joaquin,11.5
2020-03-14,Stanislaus,11.0
2020-03-14,Tulare,8.0
2020-03-15,Fresno,7.75
2020-03-15,Kern,2.6666666666666665
2020-03-15,Kings,8.333333333333334
2020-03-15,Madera,6.0
2020-03-15,San Joaquin,2.0
2020-03-15,Stanislaus,2.0
2020-03-15,Tulare,7.0
2020-03-16,Fresno,1.8571428571428572
2020-03-16,Kern,7.75
2020-03-16,Kings,4.75
2020-03-16,Madera,0.0
2020-03-16,Merced,2.0
2020-03-16,San Joaquin,2.3333333333333335
2020-03-16,Stanislaus,1.0
2020-03-16,Tulare,3.0
2020-03-17,Fresno,2.5
2020-03-17,Kern,1.25
2020-03-17,Kings,5.333333333333333
2020-03-17,Madera,2.0
2020-03-17,San Joaquin,4.0
2020-03-17,Stanislaus,3.0
2020-03-17,Tulare,5.0
2020-03-18,Fresno,4.0
2020-03-18,Kern,3.75
2020-03-18,Kings,6.333333333333333
2020-03-18,Madera,4.0
2020-03-18,San Joaquin,7.0
2020-03-18,Stanislaus,6.0
2020-03-18,Tulare,11.0
2020-03-19,Fresno,5.5
2020-03-19,Kern,5.0
2020-03-19,Kings,7.666666666666667
2020-03-19,Madera,6.0
2020-03-19,San Joaquin,8.0
2020-03-19,Stanislaus,7.0
2020-03-19,Tulare,9.0
2020-03-20,Fresno,6.0
2020-03-20,Kern,3.0
2020-03-20,Kings,13.333333333333334
2020-03-20,Madera,6.0
2020-03-20,San Joaquin,9.5
2020-03-20,Stanislaus,11.0
2020-03-20,Tulare,10.0
2020-03-21,Fresno,5.75
2020-03-21,Kern,4.0
2020-03-21,Kings,7.666666666666667
2020-03-21,Madera,6.0
2020-03-21,San Joaquin,8.5
2020-03-21,Stanislaus,11.0
2020-03-21,Tulare,10.0
2020-03-22,Fresno,7.4
2020-03-22,Kern,6.2
2020-03-22,Kings,8.666666666666666
2020-03-22,Madera,7.0
2020-03-22,Merced,9.0
2020-03-22,San Joaquin,9.333333333333334
2020-03-22,Stanislaus,11.0
2020-03-22,Tulare,12.0
2020-03-23,Fresno,2.75
2020-03-23,Kern,1.25
2020-03-23,Kings,5.666666666666667
2020-03-23,Madera,2.0
2020-03-23,San Joaquin,11.0
2020-03-23,Stanislaus,8.0
2020-03-23,Tulare,3.0
2020-03-24,Fresno,4.75
2020-03-24,Kern,3.25
2020-03-24,Kings,8.666666666666666
2020-03-24,Madera,6.0
2020-03-24,San Joaquin,5.0
2020-03-24,Stanislaus,6.0
2020-03-24,Tulare,10.0
2020-03-25,Fresno,2.0
2020-03-25,Kern,2.6
2020-03-25,Kings,4.333333333333333
2020-03-25,Madera,2.0
2020-03-25,San Joaquin,5.0
2020-03-25,Stanislaus,4.0
2020-03-25,Tulare,6.0
2020-03-26,Fresno,3.5
2020-03-26,Kern,2.75
2020-03-26,Kings,5.5
2020-03-26,Madera,4.0
2020-03-26,San Joaquin,7.5
2020-03-26,Stanislaus,8.0
2020-03-26,Tulare,7.0
2020-03-27,Fresno,9.0
2020-03-27,Kern,9.666666666666666
2020-03-27,Kings,10.0
2020-03-27,Madera,9.0
2020-03-27,San Joaquin,16.0
2020-03-27,Stanislaus,13.0
2020-03-27,Tulare,15.0
2020-03-28,Fresno,11.75
2020-03-28,Kern,10.6
2020-03-28,Kings,17.333333333333332
2020-03-28,Madera,17.0
2020-03-28,Merced,14.0
2020-03-28,San Joaquin,13.333333333333334
2020-03-28,Stanislaus,14.0
2020-03-28,Tulare,21.0
2020-03-29,Fresno,6.0
2020-03-29,Kern,6.0
2020-03-29,Kings,8.666666666666666
2020-03-29,Madera,5.0
2020-03-29,San Joaquin,8.0
2020-03-29,Stanislaus,7.0
2020-03-29,Tulare,10.0
2020-03-30,Fresno,10.333333333333334
2020-03-30,Kern,7.75
2020-03-30,Kings,14.333333333333334
2020-03-30,Madera,8.0
2020-03-30,San Joaquin,8.0
2020-03-30,Stanislaus,8.0
2020-03-30,Tulare,14.0
2020-03-31,Fresno,10.25
2020-03-31,Kern,13.833333333333334
2020-03-31,Kings,13.5
2020-03-31,Madera,9.0
2020-03-31,San Joaquin,8.0
2020-03-31,Stanislaus,8.0
2020-03-31,Tulare,18.0
2020-04-01,Fresno,9.25
2020-04-01,Kern,14.0
2020-04-01,Kings,14.0
2020-04-01,Madera,10.0
2020-04-01,San Joaquin,11.5
2020-04-01,Stanislaus,11.0
2020-04-01,Tulare,15.0
2020-04-02,Fresno,12.0
2020-04-02,Kern,14.0
2020-04-02,Kings,21.0
2020-04-02,Madera,15.0
2020-04-02,San Joaquin,12.0
2020-04-02,Stanislaus,10.0
2020-04-02,Tulare,20.0
2020-04-03,Fresno,18.0
2020-04-03,Kern,21.666666666666668
2020-04-03,Kings,18.25
2020-04-03,Madera,17.0
2020-04-03,Merced,16.0
2020-04-03,San Joaquin,15.666666666666666
2020-04-03,Stanislaus,15.5
2020-04-03,Tulare,27.0
2020-04-04,Fresno,11.0
2020-04-04,Kern,13.75
2020-04-04,Kings,16.5
2020-04-04,Madera,11.0
2020-04-04,San Joaquin,10.0
2020-04-04,Stanislaus,9.0
2020-04-04,Tulare,32.0
2020-04-05,Fresno,5.5
2020-04-05,Kern,11.75
2020-04-05,Kings,8.5
2020-04-05,Madera,5.0
2020-04-05,San Joaquin,3.0
2020-04-05,Stanislaus,3.0
2020-04-06,Fresno,1.25
2020-04-06,Kern,0.75
2020-04-06,Kings,4.666666666666667
2020-04-06,Madera,1.0
2020-04-06,San Joaquin,3.0
2020-04-06,Stanislaus,3.0
2020-04-07,Fresno,3.5
2020-04-07,Kern,3.0
2020-04-07,Kings,6.333333333333333
2020-04-07,Madera,5.0
2020-04-07,San Joaquin,6.0
2020-04-07,Stanislaus,6.0
2020-04-07,Tulare,8.0
2020-04-08,Fresno,5.25
2020-04-08,Kern,0.6666666666666666
2020-04-08,Kings,7.333333333333333
2020-04-08,Madera,7.0
2020-04-08,San Joaquin,11.0
2020-04-08,Stanislaus,8.0
2020-04-08,Tulare,4.0
2020-04-09,Fresno,3.0
2020-04-09,Kern,1.8333333333333333
2020-04-09,Kings,3.75
2020-04-09,Madera,1.0
2020-04-09,Merced,4.0
2020-04-09,San Joaquin,5.333333333333333
2020-04-09,Stanislaus,3.5
2020-04-09,Tulare,5.0
2020-04-10,Fresno,6.75
2020-04-10,Kern,1.6666666666666667
2020-04-10,Kings,9.0
2020-04-10,Madera,7.0
2020-04-10,San Joaquin,9.5
2020-04-10,Stanislaus,7.0
2020-04-10,Tulare,12.0
2020-04-11,Fresno,12.75
2020-04-11,Kern,5.666666666666667
2020-04-11,Kings,16.333333333333332
2020-04-11,Madera,13.0
2020-04-11,San Joaquin,10.5
2020-04-11,Stanislaus,9.0
2020-04-11,Tulare,19.0
2020-04-12,Fresno,15.0
2020-04-12,Kern,8.333333333333334
2020-04-12,Kings,17.0
2020-04-12,Madera,12.0
2020-04-12,San Joaquin,10.5
2020-04-12,Stanislaus,10.0
2020-04-12,Tulare,17.0
2020-04-13,Fresno,15.75
2020-04-13,Kern,9.666666666666666
2020-04-13,Kings,18.5
2020-04-13,Madera,17.0
2020-04-13,San Joaquin,20.5
2020-04-13,Stanislaus,19.0
2020-04-13,Tulare,18.0
2020-04-14,Fresno,24.0
2020-04-14,Kern,13.75
2020-04-14,Kings,24.5
2020-04-14,Madera,21.0
2020-04-14,San Joaquin,15.0
2020-04-14,Stanislaus,16.0
2020-04-14,Tulare,25.0
2020-04-15,Fresno,27.428571428571427
2020-04-15,Kern,24.285714285714285
2020-04-15,Kings,25.333333333333332
2020-04-15,Madera,20.0
2020-04-15,Merced,17.0
2020-04-15,San Joaquin,19.333333333333332
2020-04-15,Stanislaus,22.0
2020-04-15,Tulare,27.0
2020-04-16,Fresno,32.25
2020-04-16,Kern,19.75
2020-04-16,Kings,32.5
2020-04-16,Madera,23.0
2020-04-16,San Joaquin,18.5
2020-04-16,Stanislaus,20.0
2020-04-16,Tulare,27.0
2020-04-17,Fresno,19.5
2020-04-17,Kern,11.0
2020-04-17,Kings,15.333333333333334
2020-04-17,Madera,15.0
2020-04-17,San Joaquin,14.5
2020-04-17,Stanislaus,27.0
2020-04-17,Tulare,17.0
2020-04-18,Fresno,12.75
2020-04-18,Kern,4.0
2020-04-18,Kings,15.666666666666666
2020-04-18,Madera,14.0
2020-04-18,San Joaquin,13.5
2020-04-18,Stanislaus,14.0
2020-04-18,Tulare,16.0
2020-04-19,Fresno,13.5
2020-04-19,Kern,11.25
2020-04-19,Kings,15.666666666666666
2020-04-19,Madera,13.0
2020-04-19,San Joaquin,12.5
2020-04-19,Stanislaus,11.0
2020-04-19,Tulare,19.0
2020-04-20,Fresno,11.5
2020-04-20,Kern,14.25
2020-04-20,Kings,15.0
2020-04-20,Madera,13.0
2020-04-20,San Joaquin,15.5
2020-04-20,Stanislaus,14.0
2020-04-20,Tulare,19.0
2020-04-21,Fresno,16.166666666666668
2020-04-21,Kern,14.166666666666666
2020-04-21,Kings,21.5
2020-04-21,Madera,15.0
2020-04-21,Merced,16.0
2020-04-21,San Joaquin,15.0
2020-04-21,Stanislaus,15.0
2020-04-21,Tulare,20.0
2020-04-22,Fresno,29.5
2020-04-22,Kern,30.5
2020-04-22,Kings,31.333333333333332
2020-04-22,Madera,25.0
2020-04-22,San Joaquin,18.0
2020-04-22,Stanislaus,17.0
2020-04-22,Tulare,32.0
2020-04-23,Fresno,28.5
2020-04-23,Kern,28.0
2020-04-23,Kings,33.333333333333336
2020-04-23,Madera,26.0
2020-04-23,San Joaquin,15.0
2020-04-23,Stanislaus,17.0
2020-04-23,Tulare,38.0
2020-04-24,Fresno,30.25
2020-04-24,Kern,25.25
2020-04-24,Kings,36.333333333333336
2020-04-24,Madera,27.0
2020-04-24,San Joaquin,18.0
2020-04-24,Stanislaus,20.0
2020-04-24,Tulare,36.0
2020-04-25,Fresno,31.75
2020-04-25,Kern,22.75
2020-04-25,Kings,41.0
2020-04-25,Madera,29.0
2020-04-25,San Joaquin,16.0
2020-04-25,Stanislaus,14.0
2020-04-25,Tulare,42.0
2020-04-26,Fresno,15.0
2020-04-26,Kern,21.5
2020-04-26,Kings,21.333333333333332
2020-04-26,Madera,15.0
2020-04-26,San Joaquin,13.5
2020-04-26,Stanislaus,10.0
2020-04-26,Tulare,32.0
2020-04-27,Fresno,22.714285714285715
2020-04-27,Kern,24.5
2020-04-27,Kings,30.0
2020-04-27,Madera,25.0
2020-04-27,Merced,23.0
2020-04-27,San Joaquin,21.666666666666668
